No,Restaurant,Rating,Number of Comments,Cuisine,Budget,Locality,URL,Image URL
88,,,,,,Taksim,https://www.zomato.com/istanbul/aram%C4%B1zda-kals%C4%B1n-cihangir-istanbul/info,
89,,,,,,Taksim,https://www.zomato.com/istanbul/k-set-g%C3%BCm%C3%BC%C5%9Fsuyu-istanbul/info,
90,,,,,,Taksim,https://www.zomato.com/istanbul/rika-teras-cihangir-istanbul/info,
91,,,,,,Taksim,https://www.zomato.com/istanbul/dubb-indian-bosphorus-restaurant-hilton-i%CC%87stanbul-bosphorus-harbiye-istanbul/info,
92,,,,,,Taksim,https://www.zomato.com/istanbul/agora-meyhanesi-1890-balat-istanbul/info,
93,,,,,,Taksim,https://www.zomato.com/istanbul/parle-levaz%C4%B1m-istanbul/info,
94,,,,,,Taksim,https://www.zomato.com/istanbul/ruby-5-ortak%C3%B6y-merkez-istanbul/info,
95,,,,,,Taksim,https://www.zomato.com/istanbul/ada-soka%C4%9F%C4%B1-be%C5%9Fikta%C5%9F-merkez-istanbul/info,
96,,,,,,Taksim,https://www.zomato.com/istanbul/cantinery-levaz%C4%B1m-istanbul/info,
97,,,,,,Taksim,https://www.zomato.com/istanbul/alb%C3%BCm-kuru%C3%A7e%C5%9Fme-istanbul/info,
98,,,,,,Taksim,https://www.zomato.com/istanbul/shang-palace-shangri-la-bosphorus-i%CC%87stanbul-be%C5%9Fikta%C5%9F-merkez-istanbul/info,
99,,,,,,Taksim,https://www.zomato.com/istanbul/sabrosa-swissotel-the-bosphorus-ma%C3%A7ka-istanbul/info,
100,,,,,,Taksim,https://www.zomato.com/istanbul/endam-istanbul-karak%C3%B6y-istanbul/info,
101,,,,,,Taksim,https://www.zomato.com/istanbul/blackk-kuru%C3%A7e%C5%9Fme-1-kuru%C3%A7e%C5%9Fme-istanbul/info,
102,,,,,,Taksim,https://www.zomato.com/istanbul/zargana-sortie-kuru%C3%A7e%C5%9Fme-istanbul/info,
103,,,,,,Taksim,https://www.zomato.com/istanbul/ya-sonra-karak%C3%B6y-karak%C3%B6y-istanbul/info,
104,,,,,,Taksim,https://www.zomato.com/istanbul/zerdeli-ortak%C3%B6y-princess-hotel-ortak%C3%B6y-merkez-istanbul/info,
